strategy,param_value,mean_jobs_completed,std_jobs_completed,mean_jobs_dropped,std_jobs_dropped,mean_jobs_arrived,std_jobs_arrived,mean_inactive_fraction,std_inactive_fraction,mean_battery,std_battery,mean_throughput,std_throughput
D1,0.5,73.953,1.2396737474029207,74.249,8.520621984338938,149.674,8.743438911549621,0.6050022222222221,0.03694861289766814,28.083847777777777,2.1817193544357973,0.49572314711968196,0.029135763115954626
D2,0.5,73.953,1.2396737474029207,74.249,8.520621984338938,149.674,8.743438911549621,0.6050022222222221,0.03694861289766814,28.083847777777777,2.1817193544357973,0.49572314711968196,0.029135763115954626
D3,0.5,70.184,1.1481045248582553,78.651,8.568500393884568,149.674,8.743438911549621,0.5943299999999999,0.03236944129313372,26.693274444444448,2.0667285236235697,0.47043146122764085,0.027172345837721393
D4,0.5,73.987,1.2825096490865087,74.175,8.4358979960642,149.674,8.743438911549621,0.5911577777777777,0.038493389459734066,28.044204444444446,2.190614086445473,0.49590760604334777,0.028504090201714752
S1,0.6,65.572,1.3471510679949743,112.914,8.483077507603005,179.872,8.596488585463254,0.6641822222222222,0.02267157637458501,23.50774888888889,1.330659776629902,0.3653041121319105,0.01745466704617827
S2,0.6,74.432,1.3043680462200844,103.7,8.611503933692418,179.872,8.596488585463254,0.6681555555555555,0.026949161099199682,24.807015555555555,1.4855496324173447,0.4147512943013573,0.021124960149539018
S3,0.6,72.75,0.854107721543366,106.918,8.688456479720665,179.872,8.596488585463254,0.731318888888889,0.02586923505290063,22.31373222222222,1.4757797010640985,0.40539062519413926,0.020217363782799196
D1,0.6,74.432,1.3226397846730606,103.712,8.599596269593127,179.872,8.596488585463254,0.66814,0.02628363157725524,24.822110000000002,1.4777834422610734,0.41475283591245077,0.021190127429032177
D2,0.6,74.432,1.3226397846730606,103.712,8.599596269593127,179.872,8.596488585463254,0.66814,0.02628363157725524,24.822110000000002,1.4777834422610734,0.41475283591245077,0.021190127429032177
D3,0.6,71.079,0.8847366839913445,108.217,8.473010739990833,179.872,8.596488585463254,0.6466066666666666,0.022355740114104527,23.684003333333333,1.4619945227097582,0.39601845159636245,0.018544237192759477
D4,0.6,74.761,1.4099216290276562,103.469,8.596338697375762,179.872,8.596488585463254,0.6582033333333334,0.028278908752759766,24.773164444444447,1.4816889774164925,0.4165729907515399,0.021173634425196586
S1,0.7000000000000001,65.935,1.4528506461436426,143.152,8.275801834263554,209.985,7.926208109808877,0.7013377777777776,0.019274187433834092,21.779897777777776,0.9537038217780581,0.3144656730831505,0.014172106059342675
S2,0.7000000000000001,73.727,1.2387376639143577,133.939,8.108099592382915,209.985,7.926208109808877,0.7123599999999999,0.01857373108505003,22.71672666666667,1.014922381684651,0.3516582568918891,0.01575514995994907
S3,0.7000000000000001,72.648,0.7681770629223449,137.075,7.931416960417603,209.985,7.926208109808877,0.771411111111111,0.018568894074782526,20.243532222222225,1.0436163945443404,0.34645739806658066,0.013511078132643612
D1,0.7000000000000001,73.74,1.303226764611593,133.936,8.133382076356675,209.985,7.926208109808877,0.7120022222222221,0.018864847314450532,22.71403444444444,1.0117729438587946,0.35172250616570033,0.015915782225285363
D2,0.7000000000000001,73.74,1.303226764611593,133.936,8.133382076356675,209.985,7.926208109808877,0.7120022222222221,0.018864847314450532,22.71403444444444,1.0117729438587946,0.35172250616570033,0.015915782225285363
D3,0.7000000000000001,71.692,0.5283332281808519,138.038,7.894083607360641,209.985,7.926208109808877,0.6829788888888888,0.017051962668977367,21.566103333333334,1.0916792082689248,0.3418813009126886,0.012618247127803975
D4,0.7000000000000001,73.945,1.4071158445558063,133.837,8.21720335637375,209.985,7.926208109808877,0.7056311111111111,0.02016124432765763,22.688235555555554,0.9993755249265525,0.3527108674861269,0.016386908420896337
S1,0.8,64.914,1.4130123849421845,174.249,7.481243145360268,239.973,7.0168562048826395,0.7330577777777778,0.015113173715440681,20.583502222222222,0.632874358931212,0.27078890330436545,0.011226576043948286
S2,0.8,72.587,0.7735832211210374,163.894,7.034825086667046,239.973,7.0168562048826395,0.7436688888888888,0.012274373384222461,21.243592222222222,0.7268634873707989,0.30276294909583273,0.010191644960694086
S3,0.8,73.012,0.8425295247052177,166.543,6.871255416588733,239.973,7.0168562048826395,0.8006633333333334,0.013195518833450631,18.765526666666666,0.7322514336813517,0.30448899614707886,0.00883571851824374
D1,0.8,72.613,0.825367191012582,163.871,7.050131842738829,239.973,7.0168562048826395,0.7430811111111111,0.012767990019411922,21.245147777777778,0.7266878354978111,0.30287286734103136,0.010310133674784675
D2,0.8,72.613,0.825367191012582,163.871,7.050131842738829,239.973,7.0168562048826395,0.7430811111111111,0.012767990019411922,21.245147777777778,0.7266878354978111,0.30287286734103136,0.010310133674784675
D3,0.8,71.97,0.17058722109231983,167.97,7.01976495332999,239.973,7.0168562048826395,0.7112266666666667,0.013290541703235145,19.956455555555557,0.7862025874534619,0.3001621625794046,0.008701270061810411
D4,0.8,72.621,0.8884587778844892,163.892,7.042466613339391,239.973,7.0168562048826395,0.7391666666666666,0.013391332188314118,21.233193333333332,0.72354492563513,0.30290930270898014,0.010495841511745327
S1,0.9,63.531,0.7855183002324007,204.651,5.309161798250267,269.799,5.2339850018890965,0.7578144444444443,0.008691127233713281,19.73798222222222,0.39500420398450464,0.23557474499980968,0.00587686201325662
S2,0.9,72.13,0.36482872693909396,192.946,5.146948999164457,269.799,5.2339850018890965,0.76619,0.007749070752733152,20.068426666666667,0.4749773314201036,0.2674488086391746,0.005413221832026267
S3,0.9,73.7,0.9818350166906862,195.419,5.137454525346186,269.799,5.2339850018890965,0.822651111111111,0.008816721206860629,17.68293,0.448381213512413,0.27325563311125534,0.005825784787077599
D1,0.9,72.15,0.3814446224552131,192.948,5.151436304565941,269.799,5.2339850018890965,0.7659633333333333,0.00803021385567666,20.06812,0.46632367175017814,0.2675242746895837,0.005495497447433361
D2,0.9,72.15,0.3814446224552131,192.948,5.151436304565941,269.799,5.2339850018890965,0.7659633333333333,0.00803021385567666,20.06812,0.46632367175017814,0.2675242746895837,0.005495497447433361
D3,0.9,72.0,0.0,197.799,5.233985001889096,269.799,5.2339850018890965,0.7343044444444444,0.008166638246360224,18.75822222222222,0.46845693900688845,0.2669657648115628,0.005178816541193716
D4,0.9,72.064,0.2643936459145719,192.963,5.139419325176727,269.799,5.2339850018890965,0.7633577777777778,0.008033534345110763,20.049362222222225,0.4737061814309857,0.26720555633386656,0.005402728047665618
S1,1.0,63.0,0.0,234.0,0.0,300.0,0.0,0.7766666666666667,0.0,19.003333333333337,3.552713678800501e-15,0.21,0.0
S2,1.0,72.201,0.4388610258384766,222.0,0.0,300.0,0.0,0.7844744444444445,0.00262049637179063,19.053724444444445,0.09473947445364625,0.24067000000000005,0.0014628700861282627
S3,1.0,74.819,0.9860218050327285,224.217,0.9909142243403312,300.0,0.0,0.8404322222222222,0.004135315982074988,16.838251111111113,0.06034268930936391,0.24939666666666668,0.0032867393501090957
D1,1.0,72.198,0.42987905275786575,222.0,0.0,300.0,0.0,0.7843355555555557,0.00274972411635228,19.04867888888889,0.09409650469755135,0.24066000000000004,0.0014329301758595606
D2,1.0,72.198,0.42987905275786575,222.0,0.0,300.0,0.0,0.7843355555555557,0.00274972411635228,19.04867888888889,0.09409650469755135,0.24066000000000004,0.0014329301758595606
D3,1.0,72.0,0.0,228.0,0.0,300.0,0.0,0.7531822222222223,0.0021272784444559436,17.837554444444443,0.07212065164588545,0.2400000000000001,1.1102230246251565e-16
D4,1.0,72.046,0.21420550879937705,222.0,0.0,300.0,0.0,0.782791111111111,0.0019999555550617183,19.015717777777777,0.06461076893001981,0.2401533333333334,0.0007140183626645944
